Year,Total,Freshwater fish,Algae,Molluscs,C-D-M-M
1997,35593631.7,15369193,8271059,8149930,3803449.7
1998,37728148.11,15829580,9315002,8484577,4098989.11
1999,41006529.61,16970878,10274412,9282495,4478744.61
2000,43014087.75,17585548,10595560,9757564,5075415.75
2001,45558084.72,18594274,10943392,10287725,5732693.72
2002,48673173.71,19786600,11885629,10866063,6134881.71
2003,51532953.71,20320223,12614874,11347913,7249943.71
2004,55803990.09,22202461.6,13880100.2,11836038,7885390.29
2005,59148517.22,23673696.12,14831250.8,12113239,8530331.3
2006,62933284.19,25149762.42,15652881.5,12640104.5,9490535.77
2007,66302224.35,26639666.7,16337822,13030805.25,10293930.4
2008,70203225.12,29006602.47,17262244.6,13001467.47,10932910.58
2009,73834462.86,30303230.89,18656886.15,13388948.53,11485397.29
2010,77980782.26,32282069.65,20174317.35,13728260.16,11796135.1
2011,81613350.56,33391456.7,21768606.66,13818432.46,12634854.74
2012,88166493.43,35660307.76,24668145.23,14346669.61,13491370.83
2013,94977226.71,38190534.05,27993710.13,14906978.53,13886004
2014,99602311.8,40051149.22,29052896.74,15707778.34,14790487.5
2015,103876544.4,41597647.8,31062940.53,15836770.69,15379185.36
2016,108129956,43546969.43,31649981.22,16788176.5,16144828.89
2017,111946623.1,44658515.16,31810863.08,17394305.45,18082939.38
