Stocking Density,Profits (POM 2 mg/L ),Profits (POM 5 mg/L),Profits (POM 7 mg/L ),Profits (POM 10 mg/L),Profits (POM 12 mg/L)
50,89785.54,323449.88,422884.54,509663.44,544246.82
100,132822.82,565109.48,777351.38,972891.14,1052506.52
150,149159.92,730743.78,1058946.72,1382617.6,1518752.56
200,151993.4,833476.8,1269074.82,1733395.04,1937407.42
250,148560.62,889727.8,1415011.26,2022266.74,2303722.98
300,142377.04,914894.5,1508237.64,2249523.12,2614335.88
350,135054.92,920831.86,1561787.76,2419077.7,2867994.22
400,127334.48,915435.04,1587719.12,2538133.78,3066214.58
450,119574.78,903455.8,1595575.28,2616050.32,3213509
500,111961.98,887589.3,1592035.12,2662742.68,3316940.64
550,104600.6,869338.6,1581363.94,2687193.08,3385053.36
600,97552.78,849554.68,1566139.12,2696541.9,3426529.08
650,90854.92,828736.22,1547895.44,2695875.52,3449027.92
700,NA,NA,NA,2688527.4,3458533.78
750,NA,NA,NA,NA,3459254.24
800,NA,NA,NA,NA,3453915.14
850,NA,NA,NA,NA,3444208.56
