density,profits_Chl_2,profits_Chl_7,profits_Chl_10,profits_Chl_15,profits_Chl_20
50,397989.76,479079.33,507624.83,538621.58,558218.26
100,687019.7,842559.19,903380.53,972240.86,1016736.69
150,880991.46,1095721.7,1188291.63,1298713.69,1372489.47
200,999532.8,1255213.9,1374671.36,1525424.9,1630631.81
250,1063592.75,1343987.63,1483043.99,1668050.65,1803692.65
300,1091523.31,1384771.25,1536230.38,1746673.8,1908689.03
310,1094068.91,1388864.93,1542076.38,1756511.73,1923118.29
320,1095820.12,1391897.45,1546657.35,1764739.42,1935686.45
330,1096854.64,1393975.74,1550095.39,1771494.88,1946527.45
340,1097244.62,1395196,1552504.46,1776907.98,1955769.68
350,1097054.44,1395647.03,1553987.79,1781101.19,1963536.35
360,1096342.56,1395407.64,1554640.47,1784188.1,1969945.12
370,1095161.89,1394549.98,1554548.34,1786274.16,1975107.36
380,1093559.79,1393138.8,1553789.1,1787457.05,1979128.52
390,1091578.81,1391231.82,1552432.31,1787825.94,1982106.65
400,1089257.43,1388880.84,1550541.24,1787462.97,1984134.62
410,1086629.32,1386131.74,1548171.39,1786442.14,1985298.27
420,1083725.19,1383025.59,1545373.45,1784830.79,1985677.52
430,1080572.05,1379599.02,1542191.45,1782689.97,1985345.26
440,1077194.32,1375884.22,1538665.72,1780073.7,1984369.2
450,1073613.83,1371910.42,1534831.04,1777031.19,1982811.5
500,1053273.45,1348954.14,1512004.63,1756801.81,1968097.71
550,1030024.5,1322350.4,1484908.79,1730790.81,1945360.47
600,1004903.35,1293411.22,1455122.31,1701234.1,1917755.51
650,978534.19,1262895.84,1423540.96,1669390.05,1887079.18
700,951309.96,1231260.1,1390687.18,1635986.45,1854367.11
750,923494.84,1198791.86,1356873.25,1601448.8,1820236.46
800,895279.01,1165687.59,1322295.64,1566025,1785062.41
850,866813.43,1132097.88,1287091.99,1529857.5,1749072.51
900,838228.34,1098154.82,1251377,1493034.73,1712396.63
950,NA,NA,NA,NA,NA
999,NA,NA,NA,NA,NA
