density,profits_Temp_4,profits_Temp_8,profits_Temp_12,profits_Temp_16,profits_Temp_20
50,471510.98,464100.62,456424.97,448515.85,440405.45
100,825691.63,811468.83,796822.75,781822.21,766534.92
150,1069292.23,1049823.2,1029880.94,1009567.2,988977.07
200,1220202.28,1197586.77,1174519.12,1151120.32,1127500.63
250,1301920.48,1278182.39,1254033.97,1229601.76,1204999.35
300,1337148.92,1313793.04,1290059.02,1266068.22,1241929.42
310,1340290.22,1317134.14,1293603.99,1269820.02,1245889.16
320,1342417.35,1319491.04,1296193.99,1272644.6,1248948.69
330,1343635.39,1320963.64,1297924.48,1274633.35,1251194.96
340,1344037.95,1321642.59,1298881.3,1275868.41,1252706.04
350,1343711.98,1321609.66,1299142.89,1276424.52,1253554.08
360,1342734.81,1320939.22,1298780.66,1276369.02,1253803.09
370,1341176,1319698.24,1297857.88,1275763.33,1253510.42
380,1339098.82,1317946.66,1296432.27,1274661.84,1252729.35
390,1336559.14,1315737.76,1294554.89,1273113.39,1251505.76
400,1333607.28,1313120.38,1292271.62,1271162.01,1249882.2
450,1314061.66,1295240.13,1276054.89,1256596.59,1236946.26
500,1289135.5,1271878.33,1254256.71,1236351.3,1218235.36
550,1261048.06,1245200.59,1228989.78,1212488.89,1195763.78
600,1231019.97,1216420.14,1201461.78,1186210.75,1170726.25
650,1199742.76,1186241.46,1172388.66,1158243.19,1143859.81
700,1167623.8,1155089.68,1142212.57,1129046.12,1115639.91
750,1134915.06,1123236.38,1111223.96,1098927.38,1086391.04
800,1101787.85,1090869.89,1079628.18,1068108.6,1056352.22
850,1068373.52,1058137.1,1047587.66,1036767.75,1025715.11
900,1034786.77,1025166.4,1015244.11,NA,NA
950,NA,NA,NA,NA,NA
999,NA,NA,NA,NA,NA
